,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Color,Variety
0,Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.0,2011,Red,Unknown
1,Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017,Red,Unknown
2,Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,7.45,2015,Red,Unknown
3,Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019,Red,Unknown
4,Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016,Red,Pinot Noir
5,Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.9,2017,Red,Unknown
6,Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,43.87,2016,Red,Pinot Noir
7,Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100,17.52,2014,Red,Unknown
8,Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,10.75,2015,Red,Unknown
9,Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014,Red,Unknown
10,Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013,Red,Unknown
11,Descendant 2016,Australia,Barossa,Torbreck,4.3,100,140.64,2016,Red,Unknown
12,Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,2017,Red,Unknown
13,Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,100,9.26,2018,Red,Primitivo
14,Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,2017,Red,Unknown
15,Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,100,6.5,2018,Red,Shiraz
16,Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,100,29.09,2016,Red,Unknown
17,La Bienquerida 2016,Spain,Bierzo,Losada,4.3,100,41.58,2016,Red,Unknown
18,Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,100,7.95,2015,Red,Cabernet Sauvignon
19,Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,100,12.9,2016,Red,Negroamaro
20,Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,100,9.9,2015,Red,Unknown
21,Steiner 2013,Hungary,Sopron,Weninger,3.7,100,24.5,2013,Red,Unknown
22,Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.7,2015,Red,Primitivo
23,Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,2013,Red,Tannat
24,Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015,Red,Unknown
25,Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,39.9,2016,Red,Unknown
26,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,2012,Red,Unknown
27,Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,1000,15.9,2013,Red,Unknown
28,Pinot Noir 2016,United States,Monterey,District 7,3.6,1001,15.98,2016,Red,Pinot Noir
29,Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43.28,2015,Red,Unknown
30,Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,1004,8.83,2017,Red,Unknown
31,Berola 2015,Spain,Campo de Borja,Borsao,3.9,1006,14.52,2015,Red,Unknown
32,Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189.0,2010,Red,Unknown
33,Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,15.9,2017,Red,Pinot Noir
34,Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,101,76.9,2007,Red,Barbera
35,I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,101,7.04,2017,Red,Unknown
36,Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017,Red,Unknown
37,Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,37.34,2015,Red,Unknown
38,Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,101,8.67,2016,Red,Shiraz
39,Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018,Red,Unknown
40,Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,101,16.5,2015,Red,Cabernet Sauvignon
41,Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015,Red,Unknown
42,Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,101,31.96,2014,Red,Bosco
43,Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,101,9.95,2018,Red,Unknown
44,Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,101,21.9,2014,Red,Unknown
45,Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,101,7.6,2018,Red,Cabernet Sauvignon
